OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,199,6824,2916.18,198,1,2,2,0,198600,5763976,3445.54,2806,2355,12484,1611564,2855610,64,1908,Colorado Department of Public Health and Environment,"Data through November 21, 2020",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,96,2229,4306.86,96,0,1,1,0,198600,5763976,3445.54,2806,2355,12484,1611564,2855610,64,1908,Colorado Department of Public Health and Environment,"Data through November 21, 2020",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,49,1825,2684.93,49,0,,,,198600,5763976,3445.54,2806,2355,12484,1611564,2855610,64,1908,Colorado Department of Public Health and Environment,"Data through November 21, 2020",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,56,5059,1106.94,55,1,,,,198600,5763976,3445.54,2806,2355,12484,1611564,2855610,64,1908,Colorado Department of Public Health and Environment,"Data through November 21, 2020",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,843,56272,1498.08,791,52,3,3,0,198600,5763976,3445.54,2806,2355,12484,1611564,2855610,64,1908,Colorado Department of Public Health and Environment,"Data through November 21, 2020",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,19,726,2617.08,19,0,,,,198600,5763976,3445.54,2806,2355,12484,1611564,2855610,64,1908,Colorado Department of Public Health and Environment,"Data through November 21, 2020",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,425,17756,2393.56,421,4,2,2,0,198600,5763976,3445.54,2806,2355,12484,1611564,2855610,64,1908,Colorado Department of Public Health and Environment,"Data through November 21, 2020",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,202,18844,1071.96,199,3,3,3,0,198600,5763976,3445.54,2806,2355,12484,1611564,2855610,64,1908,Colorado Department of Public Health and Environment,"Data through November 21, 2020",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,516,16181,3188.93,510,6,12,12,0,198600,5763976,3445.54,2806,2355,12484,1611564,2855610,64,1908,Colorado Department of Public Health and Environment,"Data through November 21, 2020",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,483,12122,3984.49,450,33,12,12,0,198600,5763976,3445.54,2806,2355,12484,1611564,2855610,64,1908,Colorado Department of Public Health and Environment,"Data through November 21, 2020",0.436578121041293,2.65950781753648
