OBJECTID,FULL_,GEOID,LABEL,STAETFP,COUNTY,COUNTYFP,County_Pos_Cases,County_Population,County_Rate_Per_100_000,County_Pos_Cases_Yesterday,County_Pos_Cases_Change,County_Deaths,County_Deaths_Yesterday,County_Deaths_Change,State_Pos_Cases,State_Population,State_Rate_Per_100000,State_Deaths,State_CDC_Deaths,State_Number_Hospitalizations,State_Number_Tested,State_Test_Encounters,State_Number_of_Counties_Pos,State_Number_of_Outbreaks,Data_Source,Date_Data_Last_Updated,Shape__Area,Shape__Length
1,Saguache County,08109,Saguache,08,SAGUACHE,109,292,6824,4279.02,292,0,4,4,0,397063,5763976,6888.7,5641,5313,21844,2405879,5467870,64,3519,Colorado Department of Public Health and Environment,"Data through January 31, 2021",0.84314903059385,4.39184364534676
2,Sedgwick County,08115,Sedgwick,08,SEDGWICK,115,189,2229,8479.14,189,0,2,2,0,397063,5763976,6888.7,5641,5313,21844,2405879,5467870,64,3519,Colorado Department of Public Health and Environment,"Data through January 31, 2021",0.152011070952994,1.7075458304623
3,Cheyenne County,08017,Cheyenne,08,CHEYENNE,017,121,1825,6630.14,120,1,5,5,0,397063,5763976,6888.7,5641,5313,21844,2405879,5467870,64,3519,Colorado Department of Public Health and Environment,"Data through January 31, 2021",0.478627830943196,3.11127071445578
4,Custer County,08027,Custer,08,CUSTER,027,160,5059,3162.68,160,0,1,1,0,397063,5763976,6888.7,5641,5313,21844,2405879,5467870,64,3519,Colorado Department of Public Health and Environment,"Data through January 31, 2021",0.196859248573446,2.36450252969444
5,La Plata County,08067,La Plata,08,LA PLATA,067,2702,56272,4801.68,2707,-5,34,34,0,397063,5763976,6888.7,5641,5313,21844,2405879,5467870,64,3519,Colorado Department of Public Health and Environment,"Data through January 31, 2021",0.447277846552652,3.02281991599123
6,San Juan County,08111,San Juan,08,SAN JUAN,111,42,726,5785.12,42,0,,,,397063,5763976,6888.7,5641,5313,21844,2405879,5467870,64,3519,Colorado Department of Public Health and Environment,"Data through January 31, 2021",0.102833675325428,1.71664098503411
7,Pitkin County,08097,Pitkin,08,PITKIN,097,1834,17756,10328.9,1831,3,4,4,0,397063,5763976,6888.7,5641,5313,21844,2405879,5467870,64,3519,Colorado Department of Public Health and Environment,"Data through January 31, 2021",0.262895469540581,2.99758337931076
8,Park County,08093,Park,08,PARK,093,489,18844,2594.99,486,3,5,5,0,397063,5763976,6888.7,5641,5313,21844,2405879,5467870,64,3519,Colorado Department of Public Health and Environment,"Data through January 31, 2021",0.596376486070085,3.79219717353281
9,Alamosa County,08003,Alamosa,08,ALAMOSA,003,1171,16181,7236.88,1166,5,28,28,0,397063,5763976,6888.7,5641,5313,21844,2405879,5467870,64,3519,Colorado Department of Public Health and Environment,"Data through January 31, 2021",0.19106400063788,1.83562564586585
10,Prowers County,08099,Prowers,08,PROWERS,099,1130,12122,9321.89,1126,4,21,21,0,397063,5763976,6888.7,5641,5313,21844,2405879,5467870,64,3519,Colorado Department of Public Health and Environment,"Data through January 31, 2021",0.436578121041293,2.65950781753648
